,etype,cellid,seed,state,protocol,amplitude,duration,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim
0,control_719,1781,1,normal,fi,20,2000,0,0,0,-66.44976917044261,-66.66205100861633
0,control_719,1781,1,normal,fi,40,2000,0,0,0,-66.44964649372073,-66.71079018610621
0,control_719,1781,1,normal,fi,60,2000,0,0,0,-66.44952259393165,-66.76419140856065
0,control_719,1781,1,normal,fi,80,2000,0,0,0,-66.44939937354171,-66.81952392224433
0,control_719,1781,1,normal,fi,100,2000,0,0,0,-66.4492771422334,-66.883037774055
0,control_719,1781,1,normal,fi,120,2000,0,0,0,-66.4491543620938,-66.99336747316607
0,control_719,1781,1,normal,fi,140,2000,5,0,0,-66.44903168155213,-67.18161255520225
0,control_719,1781,1,normal,fi,160,2000,8,0,0,-66.4489099630466,-67.41549103004918
0,control_719,1781,1,normal,fi,180,2000,8,0,0,-66.44878691073706,-67.5812133631332
0,control_719,1781,1,normal,fi,200,2000,10,0,0,-66.44866692951979,-67.72133780716496
0,control_719,1781,1,normal,fi,220,2000,9,0,0,-66.44854468308363,-67.84292957536765
0,control_719,1781,1,normal,fi,240,2000,13,0,0,-66.44842039681795,-67.94690574793482
0,control_719,1781,1,normal,fi,260,2000,12,0,0,-66.44830022935668,-68.04427775215814
0,control_719,1781,1,normal,fi,280,2000,15,0,0,-66.44817835953212,-68.13275763990467
0,control_719,1781,1,normal,fi,300,2000,14,0,0,-66.44805485625041,-68.20846208493654
0,control_719,1781,1,normal,tburst,-50,2000,0,0,0,-66.45019368625329,-66.50394189876552
0,control_719,1781,1,normal,tburst,-100,2000,0,0,0,-66.45049928299775,-66.38823979026995
0,control_719,1781,1,normal,tburst,-150,2000,0,0,0,-66.45080584799533,-66.30139932071371
0,control_719,1781,1,normal,tburst,-200,2000,2,0,2,-66.45110947938268,-66.29392068073818
0,control_719,1781,1,normal,tburst,-250,2000,4,0,4,-66.45141587276305,-66.23717301497136
0,control_719,1781,1,normal,tburst,-300,2000,4,0,4,-66.45172151550692,-66.11212482538659
0,control_719,1781,1,normal,tburst,-50,500,0,0,0,-66.45019368625329,-66.56495707315953
0,control_719,1781,1,normal,tburst,-100,500,0,0,0,-66.45049928299775,-66.54153943994164
0,control_719,1781,1,normal,tburst,-150,500,0,0,0,-66.45080584799533,-66.52675230776364
0,control_719,1781,1,normal,tburst,-200,500,2,0,2,-66.45110947938268,-66.5703333942793
0,control_719,1781,1,normal,tburst,-250,500,4,0,4,-66.45141587276306,-66.62404727698944
0,control_719,1781,1,normal,tburst,-300,500,5,0,5,-66.45172151550692,-66.57070118911531
0,control_719,1781,1,normal,tburst,-50,200,0,0,0,-66.45019368625329,-66.57399467395783
0,control_719,1781,1,normal,tburst,-100,200,0,0,0,-66.45049928299775,-66.5661239696396
0,control_719,1781,1,normal,tburst,-150,200,0,0,0,-66.45080584799533,-66.56153929969273
0,control_719,1781,1,normal,tburst,-200,200,1,0,1,-66.45110947938267,-66.59858879045976
0,control_719,1781,1,normal,tburst,-250,200,2,0,2,-66.45141587276305,-66.60341906952416
0,control_719,1781,1,normal,tburst,-300,200,3,0,3,-66.45172151550692,-66.6092310253246
0,control_719,1781,1,normal,rmih,-50,2000,0,0,0,-71.58645488151244,-71.53443846061107
0,control_719,1781,1,normal,rmih,-100,2000,0,0,0,-71.58676033383185,-71.37957633959682
0,control_719,1781,1,normal,rmih,-150,2000,0,0,0,-71.58706678625877,-71.24640769997093
0,control_719,1781,1,normal,rmih,-200,2000,3,0,3,-71.5873703009781,-71.26345535066868
0,control_719,2111,3,normal,fi,20,2000,0,0,0,-67.82424853475419,-68.33702444118566
0,control_719,2111,3,normal,fi,40,2000,6,0,0,-67.82408816186638,-68.83780423543291
0,control_719,2111,3,normal,fi,60,2000,19,0,0,-67.82393104342636,-69.37545296481296
0,control_719,2111,3,normal,fi,80,2000,24,0,0,-67.8237741937173,-69.64321917679472
0,control_719,2111,3,normal,fi,100,2000,37,0,0,-67.82361808256587,-69.8641540736388
0,control_719,2111,3,normal,fi,120,2000,41,0,0,-67.82346304173464,-70.00916534254726
0,control_719,2111,3,normal,fi,140,2000,36,0,0,-67.82330516562457,-70.1797062844129
0,control_719,2111,3,normal,fi,160,2000,45,0,0,-67.82314861974658,-70.26484359659281
0,control_719,2111,3,normal,fi,180,2000,39,0,0,-67.82299272950783,-70.37148729108485
0,control_719,2111,3,normal,fi,200,2000,51,0,0,-67.82283626305433,-70.4359382187922
0,control_719,2111,3,normal,fi,220,2000,43,0,0,-67.82268172782507,-70.51210283490045
0,control_719,2111,3,normal,fi,240,2000,51,0,0,-67.82252540434656,-70.59154749492686
0,control_719,2111,3,normal,fi,260,2000,54,0,0,-67.82236739733472,-70.63482933007612
0,control_719,2111,3,normal,fi,280,2000,51,0,0,-67.82221103931752,-70.72226814100763
0,control_719,2111,3,normal,fi,300,2000,56,0,0,-67.82205608611302,-70.76584119335669
0,control_719,2111,3,normal,tburst,-50,2000,0,0,0,-67.82479198603339,-67.65106441560101
0,control_719,2111,3,normal,tburst,-100,2000,3,0,3,-67.82518386676648,-67.70694789952384
0,control_719,2111,3,normal,tburst,-150,2000,7,0,7,-67.82557484121328,-67.68413568208028
0,control_719,2111,3,normal,tburst,-200,2000,9,0,9,-67.82596566337082,-67.21575028102379
0,control_719,2111,3,normal,tburst,-250,2000,9,0,9,-67.8263552975665,-66.42889356088676
0,control_719,2111,3,normal,tburst,-300,2000,10,0,10,-67.82674577868134,-65.92218172637844
0,control_719,2111,3,normal,tburst,-50,500,0,0,0,-67.82479198603339,-67.95256061840847
0,control_719,2111,3,normal,tburst,-100,500,3,0,3,-67.82518386676648,-68.06611858741842
0,control_719,2111,3,normal,tburst,-150,500,6,0,6,-67.82557484121328,-68.0667185225677
0,control_719,2111,3,normal,tburst,-200,500,8,0,8,-67.82596566337082,-67.87700466317294
0,control_719,2111,3,normal,tburst,-250,500,9,0,9,-67.8263552975665,-67.54653063285048
0,control_719,2111,3,normal,tburst,-300,500,9,0,9,-67.82674577868134,-67.08284252105157
0,control_719,2111,3,normal,tburst,-50,200,0,0,0,-67.82479198603339,-68.00183132974135
0,control_719,2111,3,normal,tburst,-100,200,0,0,0,-67.82518386676648,-67.99666710680012
0,control_719,2111,3,normal,tburst,-150,200,4,0,4,-67.82557484121328,-68.12588731680377
0,control_719,2111,3,normal,tburst,-200,200,6,0,6,-67.82596566337082,-68.09441146815026
0,control_719,2111,3,normal,tburst,-250,200,7,0,7,-67.8263552975665,-67.94133095848247
0,control_719,2111,3,normal,tburst,-300,200,7,0,7,-67.82674577868134,-67.59355200941282
0,control_719,2111,3,normal,rmih,-50,2000,0,0,0,-77.31396048382649,-76.58360472602081
0,control_719,2111,3,normal,rmih,-100,2000,0,0,0,-77.3143521644049,-75.81738577322719
0,control_719,2111,3,normal,rmih,-150,2000,0,0,0,-77.31474292147831,-74.98052236082728
0,control_719,2111,3,normal,rmih,-200,2000,5,0,5,-77.31513353973342,-75.21553603241317
0,control_719,2315,3,normal,fi,20,2000,0,0,0,-65.24139444406791,-66.22156774558694
0,control_719,2315,3,normal,fi,40,2000,7,0,0,-65.24124258158257,-66.94899731388922
0,control_719,2315,3,normal,fi,60,2000,18,0,0,-65.24108659329657,-67.3918785624206
0,control_719,2315,3,normal,fi,80,2000,23,0,0,-65.24093453194915,-67.70913097869406
0,control_719,2315,3,normal,fi,100,2000,24,0,0,-65.24078249408407,-67.89669673223473
0,control_719,2315,3,normal,fi,120,2000,32,0,0,-65.24063222596014,-68.04698511475516
0,control_719,2315,3,normal,fi,140,2000,37,0,0,-65.24047865991369,-68.18009947025115
0,control_719,2315,3,normal,fi,160,2000,33,0,0,-65.24032811768525,-68.28481227623608
0,control_719,2315,3,normal,fi,180,2000,39,0,0,-65.24017608056633,-68.37985297263957
0,control_719,2315,3,normal,fi,200,2000,42,0,0,-65.24002517782102,-68.44989247957423
0,control_719,2315,3,normal,fi,220,2000,53,0,0,-65.23987431754922,-68.5148222976524
0,control_719,2315,3,normal,fi,240,2000,49,0,0,-65.23972163530453,-68.57870321555679
0,control_719,2315,3,normal,fi,260,2000,44,0,0,-65.23956833691341,-68.64291437702306
0,control_719,2315,3,normal,fi,280,2000,50,0,0,-65.23941846383185,-68.67478888308473
0,control_719,2315,3,normal,fi,300,2000,52,0,0,-65.23926718028567,-68.74299425275537
0,control_719,2315,3,normal,tburst,-50,2000,0,0,0,-65.24192217076632,-65.01789736175827
0,control_719,2315,3,normal,tburst,-100,2000,0,0,0,-65.24230235040476,-64.53741555880434
0,control_719,2315,3,normal,tburst,-150,2000,3,0,3,-65.2426810701693,-64.60970560080956
0,control_719,2315,3,normal,tburst,-200,2000,5,0,5,-65.24305964804013,-64.13649486297712
0,control_719,2315,3,normal,tburst,-250,2000,7,0,7,-65.24344016756976,-63.835639694821815
0,control_719,2315,3,normal,tburst,-300,2000,8,0,8,-65.24381761641921,-63.060872044011575
0,control_719,2315,3,normal,tburst,-50,500,0,0,0,-65.24192217076632,-65.5599530131822
0,control_719,2315,3,normal,tburst,-100,500,0,0,0,-65.24230235040476,-65.49687080850518
0,control_719,2315,3,normal,tburst,-150,500,3,0,3,-65.2426810701693,-65.55116268067889
0,control_719,2315,3,normal,tburst,-200,500,5,0,5,-65.24305964804013,-65.49982471113977
0,control_719,2315,3,normal,tburst,-250,500,7,0,7,-65.24344016756976,-65.30383662864614
0,control_719,2315,3,normal,tburst,-300,500,8,0,8,-65.24381761641922,-64.99271205196943
0,control_719,2315,3,normal,tburst,-50,200,0,0,0,-65.24192217076632,-65.64185827155504
0,control_719,2315,3,normal,tburst,-100,200,0,0,0,-65.24230235040476,-65.61065060387877
