,etype,cellid,seed,state,protocol,amplitude,duration,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim
0,control_719,1781,1,normal,fi,20,2000,0,0,0,-68.16577951206423,-68.3743150265482
0,control_719,1781,1,normal,fi,40,2000,0,0,0,-68.165656855142,-68.42021052293848
0,control_719,1781,1,normal,fi,60,2000,0,0,0,-68.16553296675583,-68.47669704019613
0,control_719,1781,1,normal,fi,80,2000,0,0,0,-68.16540976188662,-68.53238109485697
0,control_719,1781,1,normal,fi,100,2000,0,0,0,-68.16528755365687,-68.59517594662746
0,control_719,1781,1,normal,fi,120,2000,0,0,0,-68.16516479580031,-68.66462470515452
0,control_719,1781,1,normal,fi,140,2000,1,0,0,-68.1650421363036,-68.75914111973866
0,control_719,1781,1,normal,fi,160,2000,4,0,0,-68.16492044175199,-68.91373035034269
0,control_719,1781,1,normal,fi,180,2000,7,0,0,-68.16479740834461,-69.0930310765635
0,control_719,1781,1,normal,fi,200,2000,8,0,0,-68.1646774562769,-69.27209159151573
0,control_719,1781,1,normal,fi,220,2000,8,0,0,-68.16455523458794,-69.40767304182734
0,control_719,1781,1,normal,fi,240,2000,11,0,0,-68.16443096190325,-69.5124474349365
0,control_719,1781,1,normal,fi,260,2000,13,0,0,-68.16431082444657,-69.60824486015133
0,control_719,1781,1,normal,fi,280,2000,15,0,0,-68.16418898113642,-69.69167744862096
0,control_719,1781,1,normal,fi,300,2000,11,0,0,-68.16406550122197,-69.7699971305154
0,control_719,1781,1,normal,tburst,-50,2000,0,0,0,-68.16620395291734,-68.19543335974227
0,control_719,1781,1,normal,tburst,-100,2000,0,0,0,-68.16650946928854,-68.07356552111533
0,control_719,1781,1,normal,tburst,-150,2000,0,0,0,-68.16681598232502,-67.97240149839709
0,control_719,1781,1,normal,tburst,-200,2000,3,0,3,-68.16711956012873,-67.98186955201489
0,control_719,1781,1,normal,tburst,-250,2000,4,0,4,-68.16742590185943,-67.8533563238824
0,control_719,1781,1,normal,tburst,-300,2000,5,0,5,-68.16773150584781,-67.80305140941893
0,control_719,1781,1,normal,tburst,-50,500,0,0,0,-68.16620395291734,-68.26713750190463
0,control_719,1781,1,normal,tburst,-100,500,0,0,0,-68.16650946928854,-68.24037948072589
0,control_719,1781,1,normal,tburst,-150,500,0,0,0,-68.16681598232502,-68.22480584665372
0,control_719,1781,1,normal,tburst,-200,500,3,0,3,-68.16711956012873,-68.28825429600957
0,control_719,1781,1,normal,tburst,-250,500,4,0,4,-68.16742590185943,-68.26733614042024
0,control_719,1781,1,normal,tburst,-300,500,5,0,5,-68.16773150584781,-68.24242767415846
0,control_719,1781,1,normal,tburst,-50,200,0,0,0,-68.16620395291734,-68.27781264610165
0,control_719,1781,1,normal,tburst,-100,200,0,0,0,-68.16650946928854,-68.26442801546818
0,control_719,1781,1,normal,tburst,-150,200,0,0,0,-68.16681598232502,-68.26106390484156
0,control_719,1781,1,normal,tburst,-200,200,1,0,1,-68.16711956012873,-68.29345836378553
0,control_719,1781,1,normal,tburst,-250,200,2,0,2,-68.16742590185943,-68.3034711589246
0,control_719,1781,1,normal,tburst,-300,200,3,0,3,-68.1677315058478,-68.30283539718373
0,control_719,1781,1,normal,rmih,-50,2000,0,0,0,-71.58645488151244,-71.53443846061107
0,control_719,1781,1,normal,rmih,-100,2000,0,0,0,-71.58676033383185,-71.37957633959682
0,control_719,1781,1,normal,rmih,-150,2000,0,0,0,-71.58706678625877,-71.24640769997093
0,control_719,1781,1,normal,rmih,-200,2000,3,0,3,-71.5873703009781,-71.26345535066868
0,control_719,2111,3,normal,fi,20,2000,0,0,0,-71.28074567771225,-71.6158596028918
0,control_719,2111,3,normal,fi,40,2000,0,0,0,-71.28058539106107,-71.8479248891188
0,control_719,2111,3,normal,fi,60,2000,1,0,0,-71.28042836617844,-72.21205788424784
0,control_719,2111,3,normal,fi,80,2000,12,0,0,-71.28027160568293,-72.73661631650921
