,etype,cellid,seed,state,protocol,amplitude,duration,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim
0,control_719,1781,1,normal,fi,20,2000,0,0,0,-69.32610541340614,-69.52851337519864
0,control_719,1781,1,normal,fi,40,2000,0,0,0,-69.32598276629929,-69.58502327275419
0,control_719,1781,1,normal,fi,60,2000,0,0,0,-69.32585888815005,-69.64003651247464
0,control_719,1781,1,normal,fi,80,2000,0,0,0,-69.32573569355976,-69.69531381435232
0,control_719,1781,1,normal,fi,100,2000,0,0,0,-69.32561349482516,-69.7559982068554
0,control_719,1781,1,normal,fi,120,2000,0,0,0,-69.32549074724476,-69.82080880284413
0,control_719,1781,1,normal,fi,140,2000,0,0,0,-69.32536809764748,-69.89909138661348
0,control_719,1781,1,normal,fi,160,2000,1,0,0,-69.32524641404775,-70.00044064720767
0,control_719,1781,1,normal,fi,180,2000,3,0,0,-69.3251233905977,-70.14729914213007
0,control_719,1781,1,normal,fi,200,2000,6,0,0,-69.3250034507995,-70.32860179607871
0,control_719,1781,1,normal,fi,220,2000,10,0,0,-69.3248812394716,-70.47648697643992
0,control_719,1781,1,normal,fi,240,2000,10,0,0,-69.32475697612216,-70.60786778781011
0,control_719,1781,1,normal,fi,260,2000,10,0,0,-69.32463685083127,-70.69991496096155
0,control_719,1781,1,normal,fi,280,2000,11,0,0,-69.32451501820152,-70.78662123757412
0,control_719,1781,1,normal,fi,300,2000,13,0,0,-69.3243915476962,-70.85988528051993
0,control_719,1781,1,normal,tburst,-50,2000,0,0,0,-69.32652981601056,-69.33411335893318
0,control_719,1781,1,normal,tburst,-100,2000,0,0,0,-69.32683530652689,-69.19973760345471
0,control_719,1781,1,normal,tburst,-150,2000,0,0,0,-69.32714179546623,-69.09181879799142
0,control_719,1781,1,normal,tburst,-200,2000,3,0,3,-69.32744534829844,-69.08071191877684
0,control_719,1781,1,normal,tburst,-250,2000,4,0,4,-69.32775166686766,-68.99523953977379
0,control_719,1781,1,normal,tburst,-300,2000,5,0,5,-69.32805724861157,-68.82603638118609
0,control_719,1781,1,normal,tburst,-50,500,0,0,0,-69.32652981601056,-69.4158515801561
0,control_719,1781,1,normal,tburst,-100,500,0,0,0,-69.32683530652689,-69.38593198112535
0,control_719,1781,1,normal,tburst,-150,500,0,0,0,-69.32714179546622,-69.36775041350406
0,control_719,1781,1,normal,tburst,-200,500,3,0,3,-69.32744534829844,-69.42469001122902
0,control_719,1781,1,normal,tburst,-250,500,4,0,4,-69.32775166686764,-69.40188671509787
0,control_719,1781,1,normal,tburst,-300,500,5,0,5,-69.32805724861157,-69.37964499080688
0,control_719,1781,1,normal,tburst,-50,200,0,0,0,-69.32652981601056,-69.4285678902733
0,control_719,1781,1,normal,tburst,-100,200,0,0,0,-69.32683530652689,-69.4181091246638
0,control_719,1781,1,normal,tburst,-150,200,0,0,0,-69.32714179546623,-69.40955110405959
0,control_719,1781,1,normal,tburst,-200,200,0,0,0,-69.32744534829844,-69.40840305354718
0,control_719,1781,1,normal,tburst,-250,200,2,0,2,-69.32775166686764,-69.45496836459576
0,control_719,1781,1,normal,tburst,-300,200,3,0,3,-69.32805724861157,-69.44952871048076
0,control_719,1781,1,normal,rmih,-50,2000,0,0,0,-71.58645488151244,-71.53443846061107
0,control_719,1781,1,normal,rmih,-100,2000,0,0,0,-71.58676033383185,-71.37957633959682
0,control_719,1781,1,normal,rmih,-150,2000,0,0,0,-71.58706678625877,-71.24640769997093
0,control_719,1781,1,normal,rmih,-200,2000,3,0,3,-71.5873703009781,-71.26345535066868
0,control_719,2111,3,normal,fi,20,2000,0,0,0,-73.37821044854309,-73.6245309951364
0,control_719,2111,3,normal,fi,40,2000,0,0,0,-73.37805014712532,-73.82793873285225
0,control_719,2111,3,normal,fi,60,2000,0,0,0,-73.37789310544112,-74.07609657924394
0,control_719,2111,3,normal,fi,80,2000,2,0,0,-73.37773632798155,-74.49627419547909
0,control_719,2111,3,normal,fi,100,2000,16,0,0,-73.37758029119222,-75.02999919312686
0,control_719,2111,3,normal,fi,120,2000,23,0,0,-73.3774253402153,-75.27599238181138
0,control_719,2111,3,normal,fi,140,2000,27,0,0,-73.37726752785154,-75.42230098671901
0,control_719,2111,3,normal,fi,160,2000,30,0,0,-73.37711105691457,-75.54327638898195
0,control_719,2111,3,normal,fi,180,2000,35,0,0,-73.37695524882166,-75.64963186366153
0,control_719,2111,3,normal,fi,200,2000,43,0,0,-73.37679886908678,-75.70673648736498
0,control_719,2111,3,normal,fi,220,2000,39,0,0,-73.37664442314936,-75.77251253809416
0,control_719,2111,3,normal,fi,240,2000,46,0,0,-73.37648817430784,-75.83929937120699
0,control_719,2111,3,normal,fi,260,2000,43,0,0,-73.37633023056816,-75.88648882495853
0,control_719,2111,3,normal,fi,280,2000,43,0,0,-73.37617396765386,-75.93649394622585
0,control_719,2111,3,normal,fi,300,2000,57,0,0,-73.37601910503749,-75.96043744255559
0,control_719,2111,3,normal,tburst,-50,2000,0,0,0,-73.37875358231956,-72.99074447614112
0,control_719,2111,3,normal,tburst,-100,2000,0,0,0,-73.37914527776582,-72.50315480862987
0,control_719,2111,3,normal,tburst,-150,2000,6,0,6,-73.37953605215122,-72.61990088716732
0,control_719,2111,3,normal,tburst,-200,2000,7,0,7,-73.3799266846907,-71.99990358797784
0,control_719,2111,3,normal,tburst,-250,2000,8,0,8,-73.38031613826553,-71.44875731678167
0,control_719,2111,3,normal,tburst,-300,2000,8,0,8,-73.38070644206631,-70.91164707546434
0,control_719,2111,3,normal,tburst,-50,500,0,0,0,-73.37875358231956,-73.32933068192332
0,control_719,2111,3,normal,tburst,-100,500,0,0,0,-73.37914527776582,-73.19625911859634
0,control_719,2111,3,normal,tburst,-150,500,5,0,5,-73.37953605215122,-73.30919116218531
0,control_719,2111,3,normal,tburst,-200,500,6,0,6,-73.3799266846907,-72.99350743755524
0,control_719,2111,3,normal,tburst,-250,500,7,0,7,-73.38031613826553,-72.55983260002655
0,control_719,2111,3,normal,tburst,-300,500,8,0,8,-73.38070644206631,-72.18402445523174
0,control_719,2111,3,normal,tburst,-50,200,0,0,0,-73.37875358231956,-73.38672494383219
0,control_719,2111,3,normal,tburst,-100,200,0,0,0,-73.37914527776582,-73.33397804169975
0,control_719,2111,3,normal,tburst,-150,200,0,0,0,-73.37953605215122,-73.22886729666463
0,control_719,2111,3,normal,tburst,-200,200,0,0,1,-73.3799266846907,-73.16181606393395
0,control_719,2111,3,normal,tburst,-250,200,4,0,4,-73.38031613826553,-73.00000242510728
0,control_719,2111,3,normal,tburst,-300,200,5,0,5,-73.38070644206631,-72.65106950337601
0,control_719,2111,3,normal,rmih,-50,2000,0,0,0,-77.31396048382649,-76.58360472602081
0,control_719,2111,3,normal,rmih,-100,2000,0,0,0,-77.3143521644049,-75.81738577322719
0,control_719,2111,3,normal,rmih,-150,2000,0,0,0,-77.31474292147831,-74.98052236082728
0,control_719,2111,3,normal,rmih,-200,2000,5,0,5,-77.31513353973342,-75.21553603241317
0,control_719,2315,3,normal,fi,20,2000,0,0,0,-69.56124636840369,-70.27364572647676
0,control_719,2315,3,normal,fi,40,2000,0,0,0,-69.56109465528331,-70.61620963583651
0,control_719,2315,3,normal,fi,60,2000,0,0,0,-69.5609387991056,-71.03435496163927
0,control_719,2315,3,normal,fi,80,2000,4,0,0,-69.5607868780029,-71.67867266904327
0,control_719,2315,3,normal,fi,100,2000,17,0,0,-69.56063497772408,-72.25513306977449
0,control_719,2315,3,normal,fi,120,2000,22,0,0,-69.56048486481183,-72.5474999601323
0,control_719,2315,3,normal,fi,140,2000,26,0,0,-69.56033142480965,-72.78254568087424
0,control_719,2315,3,normal,fi,160,2000,36,0,0,-69.5601810292604,-72.92797497540867
0,control_719,2315,3,normal,fi,180,2000,39,0,0,-69.56002912285857,-73.05826905203409
0,control_719,2315,3,normal,fi,200,2000,43,0,0,-69.55987836807836,-73.15808490517756
0,control_719,2315,3,normal,fi,220,2000,41,0,0,-69.55972764468254,-73.24703016503341
0,control_719,2315,3,normal,fi,240,2000,40,0,0,-69.55957508141677,-73.31629736359406
0,control_719,2315,3,normal,fi,260,2000,48,0,0,-69.55942191463663,-73.39277091787089
0,control_719,2315,3,normal,fi,280,2000,47,0,0,-69.55927218812077,-73.42843718173954
0,control_719,2315,3,normal,fi,300,2000,54,0,0,-69.5591210356583,-73.47322168673212
