,etype,cellid,seed,state,protocol,amplitude,duration,adaptation_index2,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim,voltage_deflection,AP_amplitude,AP1_amp,AP2_amp,fast_AHP,AHP_depth,AP_amplitude_change,sag_amplitude
0,lesioned_719,1280,4,6ohda,fi,20,2000,,0,0,0,-70.6295209547609,-71.01484431664286,0.9333088325494003,,,,,,,
0,lesioned_719,1280,4,6ohda,fi,40,2000,,0,0,0,-70.62936261742222,-71.1625708107426,2.1252579783727015,,,,,,,
0,lesioned_719,1280,4,6ohda,fi,60,2000,,0,0,0,-70.62920414751187,-71.30869605991161,3.276108035852346,,,,,,,
0,lesioned_719,1280,4,6ohda,fi,80,2000,,0,0,0,-70.62904503702099,-71.46000783465419,4.3782580272264084,,,,,,,
0,lesioned_719,1280,4,6ohda,fi,100,2000,,1,0,0,-70.62888664512552,-71.6165639451412,5.434955521986154,55.39696398752329,55.39696398752329,,,8.188303496951463,,
0,lesioned_719,1280,4,6ohda,fi,120,2000,,1,0,0,-70.62872777713365,-71.76260099211294,6.460875417539242,44.28788483147812,44.28788483147812,,,8.455536917278536,,
0,lesioned_719,1280,4,6ohda,fi,140,2000,,2,0,0,-70.62856863089917,-71.90481846434555,7.451171153115851,38.988209408860286,38.988209408860286,51.79979360062953,14.841791501211326,8.646530652355885,0.32860150250597914,
0,lesioned_719,1280,4,6ohda,fi,160,2000,,2,0,0,-70.62840986591347,-72.0359585884822,8.414262950409565,47.35895542362641,47.35895542362641,32.57439686667337,19.149017851627036,9.116242575693882,-0.3121808415051598,
0,lesioned_719,1280,4,6ohda,fi,180,2000,,3,0,0,-70.6282518690096,-72.17984778805236,9.339774245266142,56.06823018807339,56.06823018807339,24.130533199802755,15.954806043735708,9.739596505607885,-0.5696219923678685,
0,lesioned_719,1280,4,6ohda,fi,200,2000,,3,0,0,-70.62809278713829,-72.30289242145966,10.251067098402146,53.80646103219295,53.80646103219295,38.49001563367201,17.123429307534813,9.775494350352417,-0.2846581080542903,
0,lesioned_719,1280,4,6ohda,fi,220,2000,0.38181818181818183,4,0,0,-70.62793409216599,-72.43572684802074,11.133935492044316,47.262434937385414,47.262434937385414,49.77078242852116,14.341671007394297,10.042532099662573,0.05307275205898453,
0,lesioned_719,1280,4,6ohda,fi,240,2000,0.22762148337595908,4,0,0,-70.62777423311306,-72.55245221751709,12.005327039089437,50.44827005525505,50.44827005525505,36.41286450115156,17.77364520726716,9.979329959392338,-0.278213812658606,
